Student ID,GPA,SAT,ACT,AP: English Language and Composition,AP: English Literature and Composition,AP: Comparative Government and Politics,AP: European History,AP: Human Geography,AP: Macroeconomics,AP: Microeconomics,AP: Psychology,AP: United States Government and Politics,AP: United States History,AP: Calculus AB,AP: Calculus BC,AP: Computer Science A,AP: Computer Science Principles,AP: Statistics,AP: Biology,AP: Chemistry,AP: Environmental Science,AP: Physics 1: Algebra-Based,AP: Physics 2: Algebra-Based,AP: Physics C: Electricity and Magnetism,AP: Physics C: Mechanics,SAT II: Literature,SAT II: U.S History,SAT II: World History,SAT II: Mathematics Level I,SAT II: Mathematics Level II,SAT II: Biology,SAT II: Chemistry,SAT II: Physics
1,3.9,1500,33,4,5,4,5,4,5,5,5,5,4,4,3,4,5,5,4,4,4,4,4,5,5,760,760,720,800,760,720,720,720
2,4,1510,34,5,3,4,3,4,4,4,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4,760,720,720,720,800,720,760,720
3,4,1500,34,4,4,3,5,5,4,5,3,4,4,5,3,5,5,4,5,4,5,5,4,5,5,760,720,800,720,800,720,760,720
4,4,1500,34,4,4,5,5,4,5,4,4,4,5,5,5,4,5,4,4,5,5,5,5,5,5,720,760,760,760,760,720,760,800
5,3.7,1450,36,5,4,4,5,5,5,5,4,4,5,5,3,5,4,4,4,4,4,5,4,4,5,760,720,720,720,720,720,760,760
6,3.6,1600,36,4,4,4,4,5,4,5,3,5,5,5,4,3,5,5,4,4,4,4,4,4,5,760,720,720,800,760,720,720,720
7,3.5,1520,33,4,4,3,5,4,4,4,5,4,5,4,5,5,5,5,4,5,4,5,5,5,4,760,800,720,760,760,720,760,800
8,3.6,1550,32,4,5,4,4,3,5,5,5,5,4,4,4,4,5,5,4,4,4,3,4,4,4,760,720,720,800,720,760,760,760
9,3.8,1500,32,5,5,5,5,5,4,4,3,3,4,4,5,3,5,5,4,4,5,4,5,4,5,720,720,720,720,720,800,800,720
10,3.8,1500,32,5,5,5,5,5,5,3,5,4,5,3,4,5,5,3,5,5,5,5,5,4,4,720,720,760,720,720,720,720,800
